cid,submittedVideoUrl,text,label,translated_text,translated_text_formal
7.424290433376945e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah,0.0,sayangnya orang-orang terdekat yang justru membuat mental kita sakit dan lelah,Sayangnya orang-orang terdeKakt yang justru membuat mental kita sakit dan lelah
7.424296666063226e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"justru malah org trdekat yg menghancurkan mental ku, aku tdk prcya siapapun, caraku mengatasi ini semua dgn meditasi agar lbih tenang",1.0,"justru malah org trdekat yg menghancurkan mental ku, aku tdk prcya siapapun, caraku mengatasi ini semua dgn meditasi agar lbih tenang","Justru malah orang terdeKakt yang menghancurKakn mental saya, asaya tidak percaya siapapun, carasaya mengatasi ini semua dengan meditasi agar lebih tenang"
7.467563351029499e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,halo ka indah sundari,1.0,halo ka indah sundari,Halo Kak indah sundari
7.424315640155047e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,justru orang terdekat malah jadi penyebabnya,1.0,justru orang terdekat malah jadi penyebabnya,Justru orang terdeKakt malah jadi penyebabnya
7.45555311479736e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,ka tolong aku,1.0,ka tolong aku,Kak tolong asaya
7.424138346903193e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"banyak yg pengen aku ceritain, tp g bisa, g tau kenapa g bisa keluar unek² ini",1.0,"banyak yg pengen aku ceritain, tp g bisa, g tau kenapa g bisa keluar unek² ini","Banyak yang pengen asaya ceritain, tp g bisa, g tau kenapa g bisa keluar unek² ini"
7.424360532423378e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"tapi ya memang harus dekat dengan tuhan, banyak dzikir, tahajud, shalawat dan baca al-qur'an.. itu yg buat pikiran dan hati kita jernih sehingga kita bisa menemukan solusi untuk mengatasinya..",1.0,"tapi ya memang harus dekat dengan tuhan, banyak dzikir, tahajud, shalawat dan baca al-qur'an.. itu yg buat pikiran dan hati kita jernih sehingga kita bisa menemukan solusi untuk mengatasinya..","Tapi ya memang harus deKakt dengan tuhan, banyak dzikir, tahajud, shalawat dan baca al-qur'an.. itu yang buat pikiran dan hati kita jernih sehingga kita bisa menemuKakn solusi untuk mengatasinya.."
7.437371997983753e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,suka sedih dibilang masalah mental karna jauh dari tuhann,0.0,suka sedih dibilang masalah mental karna jauh dari tuhann,SuKak sedih dibilang masalah mental Kakrna jauh dari tuhann
7.425095399956973e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"""akan ada masa dimana kamu tidak menemukan kebahagiaan, kecuali dengan mengasingkan diri dari keramaian"" bener kata sayyidina ali",1.0,"""akan ada masa dimana kamu tidak menemukan kebahagiaan, kecuali dengan mengasingkan diri dari keramaian"" bener kata sayyidina ali","""aKakn ada masa dimana Kakmu tidak menemuKakn kebahagiaan, kecuali dengan mengasingKakn diri dari keramaian"" bener Kakta sayyidina ali"
7.425306061172983e+18,https://www.tiktok.com/@sundarindah/video/7424130682529516805,"aku seorang ibu rumah tangga, sudah lama sekali aku selalu berbicara sndrian ketika aku sndri, berbicara sprti sdg mengobrol pdhl aku sdg sndrian, sebelumnya aku merasa biasa",0.0,"aku seorang ibu rumah tangga, sudah lama sekali aku selalu berbicara sndrian ketika aku sndri, berbicara sprti sdg mengobrol pdhl aku sdg sndrian, sebelumnya aku merasa biasa","Asaya seorang ibu rumah tangga, sudah lama seKakli asaya selalu berbicara sndrian ketiKak asaya sndri, berbicara sprti sdg mengobrol pdhl asaya sdg sndrian, sebelumnya asaya merasa biasa"
